model,seed,eval_policy,final_episode,final_success,final_return,final_episode_length,first_positive_ep,success_0_5_ep,success_0_8_ep,success_0_9_ep,success_1_0_ep,success_auc,return_auc,episode_length_auc,episode_length_slope,drop_below_0_9_after_reach,drop_below_1_0_after_reach,total_train_success,last1000_success,last500_success,last100_success,mean_reward,late_reward,early_length,late_length,length_delta_late_minus_early,train_length_slope
Baseline,1,sample,5000,1.0,0.9698319999999999,33.52,100,1600,1800,1800,2100,0.7472,0.66017846,329.4906,-0.2360165858343339,0,2,0.7494,0.997,0.996,1.0,0.6630711,0.9625912,938.584,41.232,-897.352,-0.23852747643709915
Baseline,1,argmax,5000,1.0,0.975916,26.76,1900,2100,2100,2100,2800,0.5576,0.5462978000000001,434.958,-0.27720845138055233,2,2,0.7494,0.997,0.996,1.0,0.6630711,0.9625912,938.584,41.232,-897.352,-0.23852747643709915
Baseline,11,sample,5000,1.0,0.9689679999999999,34.48,100,2400,2600,2600,2800,0.6044,0.5060228,484.908,-0.26695747418967586,0,2,0.5986,1.0,1.0,1.0,0.50516434,0.9607636,962.277,43.596,-918.681,-0.2705848261673934
Baseline,11,argmax,5000,1.0,0.9833320000000001,18.52,2900,2900,2900,2900,3400,0.4096,0.4012336,579.696,-0.28241652821128455,2,3,0.5986,1.0,1.0,1.0,0.50516434,0.9607636,962.277,43.596,-918.681,-0.2705848261673934
Baseline,44,sample,5000,1.0,0.9692019999999999,34.22,100,1600,1800,1900,2200,0.718,0.6270154,363.094,-0.24589454981992812,1,7,0.7104,0.997,1.0,1.0,0.62598576,0.9552571000000001,953.704,49.381,-904.323,-0.25013147118925927
Baseline,44,argmax,5000,1.0,0.9833320000000001,18.52,2200,2200,2500,2600,2900,0.5252,0.51572372,465.3292,-0.28106641056422577,2,2,0.7104,0.997,1.0,1.0,0.62598576,0.9552571000000001,953.704,49.381,-904.323,-0.25013147118925927
Memory Ablation,1,sample,5000,1.0,0.964252,39.72,100,1600,1800,1900,2000,0.7202,0.63426656,355.2816,-0.2463524129651862,0,4,0.715,0.996,0.996,0.99,0.6281085999999999,0.9604176,945.947,43.536,-902.4110000000001,-0.25010187477207546
Memory Ablation,1,argmax,5000,1.0,0.983188,18.68,2100,2400,2400,2400,2700,0.5192,0.51048944,470.4784,-0.2881685186074431,1,2,0.715,0.996,0.996,0.99,0.6281085999999999,0.9604176,945.947,43.536,-902.4110000000001,-0.25010187477207546
Memory Ablation,11,sample,5000,1.0,0.9555400000000001,49.4,100,1400,1800,1900,2100,0.7634,0.657884,333.84,-0.23024757743097257,0,3,0.7604,0.996,1.0,1.0,0.6553116800000001,0.9566502,932.349,47.722,-884.6270000000001,-0.23374338118973548
Memory Ablation,11,argmax,5000,1.0,0.98272,19.2,1800,2000,2000,2200,2500,0.5408,0.53082404,450.2844,-0.272241930372149,3,7,0.7604,0.996,1.0,1.0,0.6553116800000001,0.9566502,932.349,47.722,-884.6270000000001,-0.23374338118973548
Memory Ablation,44,sample,5000,1.0,0.968518,34.98,100,1200,1500,1700,2200,0.7752,0.6866772600000001,303.1586,-0.2248536278511406,0,2,0.7752,0.995,1.0,1.0,0.68817324,0.9590819,934.427,44.909,-889.518,-0.22551532809261343
Memory Ablation,44,argmax,5000,1.0,0.983476,18.36,1800,2000,2000,2300,2300,0.5632,0.5540495200000001,426.9672,-0.2720344297719088,4,5,0.7752,0.995,1.0,1.0,0.68817324,0.9590819,934.427,44.909,-889.518,-0.22551532809261343
